id,name
434,Gimnasia L.P.
435,River Plate
436,Racing Club
437,Rosario Central
438,Velez Sarsfield
440,Belgrano Cordoba
441,Union Santa Fe
442,Defensa Y Justicia
445,Huracan
446,Lanus
449,Banfield
450,Estudiantes L.P.
451,Boca Juniors
452,Tigre
453,Independiente
455,Atletico Tucuman
456,Talleres Cordoba
457,Newells Old Boys
458,Argentinos JRS
460,San Lorenzo
463,Aldosivi
473,Independ. Rivadavia
474,Sarmiento Junin
476,Deportivo Riestra
478,Instituto Cordoba
1064,Platense
1065,Central Cordoba de Santiago
1066,Gimnasia M.
2424,Estudiantes de Rio Cuarto
2432,Barracas Central
